Year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
2010's,Love Me Harder,Ariana Grande & The Weeknd,0.448,0.71,-5.095,0.0578,0.196,0,0.273,104.024
2010's,L$D,A$AP Rocky,0.598,0.252,-15.086,0.0647,0.193,0.138,0.0352,120.06
2010's,Chanel (Go Get It),Young Thug Featuring Gunna & Lil Baby,0.938,0.5,-10.08,0.144,0.00183,0,0.462,140.011
2010's,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,0.427,0.396,-7.556,0.0366,0.736,0,0.306,70.368
2010's,"Dear Friend,",Dayglow,0.436,0.381,-10.92,0.0425,0.948,0.0176,0.331,88.16
2010's,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,0.858,0.697,-5.361,0.23,0.114,0,0.364,98.012
2010's,A Sky Full Of Stars,Coldplay,0.551,0.636,-7.125,0.0281,0.00713,0.00203,0.153,124.996
2010's,Bad And Boujee,Migos Featuring Lil Uzi Vert,0.927,0.665,-5.313,0.244,0.061,0,0.175,127.076
2010's,"Cello Suite No. 5 in C Minor, BWV 1011: IV. Sarabande",Johann Sebastian Bach,0.175,0.00603,-32.587,0.0495,0.892,0.927,0.109,96.644
2010's,Heart Patient,The Landers,0.728,0.674,-3.007,0.0736,0.0956,0,0.711,145.981
2010's,Feel It Still - Instrumental,Lance Allen,0.581,0.291,-19.874,0.0746,0.513,0.787,0.784,79.026
2010's,On Fire,Lil Wayne,0.626,0.866,-4.065,0.0408,0.00316,0.000364,0.545,132.031
2010's,Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",0.684,0.823,-3.297,0.0773,0.0744,0,0.647,91.048
2010's,Sepulnation (Live),Sepultura,0.334,0.977,-5.602,0.134,0.000244,0.00155,0.0391,117.056
2010's,Part Of Me,Katy Perry,0.678,0.918,-4.63,0.0355,0.000417,0,0.769,130.028
2010's,American Saturday Night,Brad Paisley,0.487,0.938,-5.466,0.0533,0.0721,2.63e-05,0.733,157.795
2010's,Lost In The Static,After The Burial,0.602,0.955,-4.888,0.154,0.000989,0.0133,0.193,126.009
2010's,I'm Ready,AJR,0.628,0.867,-3.555,0.0913,0.0108,0,0.597,78.043
2010's,Nowhere Kids,Smile Empty Soul,0.513,0.923,-3.639,0.0683,0.0289,0,0.367,98.986
2010's,Rock the Bells,Boys Noize,0.605,0.992,-5.074,0.0606,0.0062,0.909,0.555,102.911
