year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
1970's,Rock And Roll Music,The Beach Boys,0.694,0.722,-5.505,0.128,0.297,0,0.961,143.942
1970's,Retrato,Oswaldo Montenegro,0.328,0.551,-8.848,0.0795,0.755,0,0.485,81.134
1970's,Am I Losing You,The Partridge Family Starring Shirley Jones Featuring David Cassidy,0.524,0.491,-11.652,0.0279,0.611,0,0.936,139.873
1970's,So bist du,Peter Maffay,0.621,0.348,-12.272,0.0327,0.613,5e-06,0.513,138.959
1970's,Gonna Give Her All The Love I've Got,Marvin Gaye,0.657,0.568,-9.895,0.0279,0.478,0,0.941,96.67
1970's,Houston (I'm Comin' To See You),Glen Campbell,0.369,0.484,-7.682,0.0261,0.0806,1.23e-05,0.36,79.31
1970's,Just My Imagination (Running Away With Me),The Temptations,0.425,0.242,-15.424,0.0267,0.88,0.0118,0.477,92.472
1970's,D.O.A.,Bloodrock,0.344,0.433,-7.869,0.0329,0.636,0,0.0397,133.468
1970's,One Way Sunday,Mark-Almond,0.543,0.136,-19.197,0.0389,0.94,0.127,0.362,114.261
1970's,Vou Começar Tudo de Novo,Reginaldo Rossi,0.638,0.505,-13.022,0.0428,0.255,0.0427,0.655,119.702
1970's,Golden Years,David Bowie,0.68,0.701,-10.36,0.036,0.316,4.72e-06,0.933,108.287
1970's,Bitches Brew,Miles Davis,0.4,0.512,-9.094,0.0348,0.534,0.276,0.17,99.18
1970's,Stella By Starlight,Miles Davis,0.493,0.143,-12.85,0.036,0.917,0.0001,0.239,87.221
1970's,Sixteen - 1996 Remastered Version,Buzzcocks,0.282,0.701,-8.726,0.0358,7.96e-05,0.399,0.325,133.643
1970's,My Boy,Elvis Presley,0.42,0.0235,-17.663,0.0728,0.934,0.00674,0.252,85.08
1970's,I Get High On You,Sly Stone,0.545,0.843,-9.717,0.0587,0.0919,0.00243,0.629,97.817
1970's,Let Me Get To Know You,Paul Anka,0.536,0.614,-8.293,0.0331,0.283,0,0.527,106.333
1970's,I Want'a Do Something Freaky To You,Leon Haywood,0.574,0.441,-15.258,0.0306,0.255,0.00316,0.911,92.158
1970's,Straw Hat and Cane,Keith Nichols,0.495,0.482,-14.198,0.0583,0.944,0.914,0.967,81.894
1970's,The World Is A Ghetto,War,0.671,0.497,-9.469,0.0441,0.0546,0.000251,0.498,91.795
1970's,Pra Você Tudo é Difícil,Reginaldo Rossi,0.638,0.719,-9.205,0.0673,0.53,0,0.706,124.806
1970's,Na Na Hey Hey Kiss Him Goodbye,Steam,0.637,0.916,-6.95,0.0458,0.0139,2.27e-05,0.506,114.987
1970's,Cuando Tenía Tu Edad,José Alfredo Jimenez,0.366,0.482,-11.266,0.0979,0.161,5.83e-05,0.488,169.738
1970's,"Wayne, Wayne - Go Away",R. Stevie Moore,0.455,0.219,-19.38,0.0331,0.837,8.6e-05,0.258,99.138
1970's,Nathan's Lament - Remastered,kalapana,0.41,0.602,-11.559,0.0401,0.0424,0.000369,0.833,152.546
1970's,Brazil - Alternate Take,Antônio Carlos Jobim,0.408,0.41,-20.076,0.0387,0.528,0.877,0.709,96.139
1970's,Viejo Mundo - Bulerías,Camaron De La Isla,0.576,0.851,-4.492,0.0333,0.839,0.000891,0.775,115.939
